Unnamed: 0,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics
12083,4FX8fPOIDRR2voDqOkfeKk,The March Of The Black Queen - 2011 Mix,Queen,36,0NouBnbXRJKFWzm9LwCW0K,Queen II (2011 Remaster),1974-03-08,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.332,0.687,9,-8.44,0,0.0787,0.0904,1.3e-05,0.64,0.136,112.307,392947,
28442,1uzd0TxJ190w2TuRm2e5hP,Telling Me,CAMO,15,37YVSMMUPkx937YJFx4tS0,Telling Me,2019-10-04,Big Room Beast,3PNyCpkY7NAXyhopBpj7vc,edm,big room,0.587,0.929,2,-4.783,1,0.0525,0.00411,0.767,0.184,0.123,124.053,160645,"(I think this shit's cool. So, I'm gonna go ahead and start this shit off)

Let's jet miss and only you. None of your girls on the guest list
Whatchu waitin for? Whatchu hatin' for?
What!? Don't be fuckin' me. I'm a important fact of luxury
Don't be duckin me... fool! Nigga's ain't cool (I know)
Is your tank full? Why I always gotta rock the flyest shit?
Physical death, immediately on. A minimum peth(?)
Injuring'em with a link of physical sex
Textile(?) Dial up slut friends
End up with a girlfriend, shit gets buckwild (Kill ME!)
Whatchu cryin' for?  Whatchu lyin' for?
I'm the shit that you should be eyein' whore
My dick is like the iron horse
Toss her out the whip, hit her head on the curb (Sorry)
You ain't gettin' nothin' you didn't deserve
Servin' sluts with words that cut and nerves that front (?)
I know it's not easy, like walking through the park 71 willings (?)
So learn to suck. it. right. cause. this. shit. it. goes on.. every night

(what, what, what)

You hear me talking to your stupid ass. (what, what, what)
You say (what, what, what) You heard (what, what, what)

(___?) Yakima is hot to hell. I'd rather be shot to hell
Then end up fuckin' witchu you, locked in jail
What.. you.. sayin' B. That's.. how.. it's gotta be
Open up a nigga's face and live in tragedy
Yo, pick up. Don't be mad at me
I guess this shit is cool beans
Dangerous, mood swings. Whatever the shoe brings
?I'm graftin' hate? your ass is late, try to go up to my crib and trash my place
I smack your face and smack your date
Now a sticky situa served with maskin tape
Go 'head, get up nigga do somethin'
Get up, go on try to move somethin'
You sick, bitch. Go 'head an quit
You're not def to shit, you requested it
The majestic dick, roll over to the crib and molest ya chick
I don't respect ya, bitch!

(what, what, what)

You hear me talking to your stupid ass. (what, what, what)
You say (what, what, what) You heard (what, what, what)"
3566,3sqQ4ocD4M9fsvbHrr1Z2M,Should Be Higher,Depeche Mode,41,1kpZUS7tLWK0hMWNCKP9La,Delta Machine,2013-03-22,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.399,0.521,9,-8.817,1,0.0349,0.00221,0.0427,0.0801,0.4,99.091,304653,"[Verse 1: Dave Gahan]
I dream of a day
When I dare to believe
You're the answer
When the shame
And the guilt are removed
And the truth appears
With the touch of your hand
I lose who I am
If I want to
I tried to resist
But succumb to the bliss
Of your kiss

[Refrain: Dave Gahan & Martin L. Gore]
You should be higher
I'll take you higher
So don't be afraid
You'll just have to pray

[Chorus: Dave Gahan]
Your lies are more attractive than the truth
Love is all I want
Your lies are written down there in your book
Love is all I want

[Interlude]

[Verse 2: Dave Gahan]
Your arms are infected
They are holding the truth
Oh stop all your crying
This one you'll lose

[Refrain: Dave Gahan & Martin L. Gore]
You should be higher
I'll take you higher
So don't be afraid
You'll just have to pray

[Chorus: Dave Gahan]
Your lies are more attractive than the truth
Love is all I want
Your lies are written down there in your book
Love is all I want

[Outro: Dave Gahan]
You should be higher
You should be higher
Love
Love
Love
Love"
32634,3deJ2HX9oLvUUZH0CEiKKd,Wake Turbulence - David Tort Remix,Koen Groeneveld,13,7yqLHPQkSZCX5T1tZFxCH5,Wake Turbulence 10.0,2018-06-15,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.679,0.995,8,-4.338,0,0.0651,0.0083,0.892,0.0323,0.4,124.023,194863,
27520,2QsXx7k1no8naCHWPx1DGi,Scream,TV Noise,29,41nZi8ZuAkn8ahFiJDc4Jj,Scream,2018-08-17,Electro House,6k45gxiQhfVqACfIdqONsC,edm,electro house,0.649,0.924,1,-3.422,1,0.0557,0.000648,0.299,0.101,0.691,128.02,162656,"[Break 1]
Scream!

Let me hear all the [?] scream!
Here we go

Hands up, hands up hands up
Hands up, hands up (Loud!)
Hands up, hands up hands up
Hands up, hands up (Here we go!)

Hands up, hands up hands up
Hands up, hands up (Loud!)
Hands up, hands up hands up
Let me hear all the [?] scream!

Brrrrr-- Put your hands up!

[Instrumental Drop]

[Break 2]
Let me hear all the [?] scream!
Here we go

Hands up, hands up hands up
Hands up, hands up (Loud!)
Hands up, hands up hands up
Hands up, hands up (Here we go!)

Hands up, hands up hands up
Hands up, hands up (Loud!)
Hands up, hands up hands up
Let me hear all the [?] scream!

Brrrrr-- Put your hands up!

[Instrumental Drop]

[Outro]
Scream!"
536,5L2l7mI8J1USMzhsmdjat9,Red Lights,Tiësto,69,4SHlBT6B3kL8bdj6X2xHRp,A Town Called Paradise,2014-06-13,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,262200,"[Verse 1]
Blacked out
Everything faded on your love
I’m already wasted so close
That I can taste it now, now
So let’s break right out of these gilded cages
We’re going to make it now
Don’t ever turn around
Don’t ever turn around

[Chorus]
Nobody else needs to know
Where we might go
We could just run them red lights
We could just run them red lights
There ain’t no reason to stay
We’ll be light years away
We could just run them red lights
We could just run them red lights
We could just run them red lights

[Verse 2]
White lights, flirt in the darkness
This road leads where your heart is
These signs, something we can’t ignore
We can’t back down
We’ll never let them change us
We’re going to make it now
What are we waiting for...
What are we waiting for...

[Chorus]
Nobody else needs to know
Where we might go
We could just run them red lights
We could just run them red lights
There ain’t no reason to stay
We’ll be light years away
We could just run them red lights
We could just run them red lights
We could just run them red lights
We could just run them red lights
We could just run them red lights
We could just run them red lights"
983,1mQ6oxC6caPHPY1siLKNzO,Summer Air (feat. Trevor Guthrie),Hardwell,51,25HUKIHCA9hKTUXf8ZJubh,Summer Air (feat. Trevor Guthrie),2019-05-31,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.632,0.574,4,-8.584,1,0.053,0.0942,0.0,0.215,0.557,125.989,201905,"[Verse 1]
Feel the sun on your skin
Feel the love sinking in
Oh, babe, what we waitin' for?
We got nothing to do
You got me, I got you
Oh, feel the sun on your skin
Feel the love sinking in
Say, babe, what we waitin’ for?
And no place I'd rather be
I got you, you got me

[Pre-Chorus]
It's going off, I swear
We got it all right here

[Chorus]
There must be something in that summer air
Just high on life and we don’t care
There must be something in that summer air
So high and we don't care
There must be something in that summer air
Just high on life and we don't care
There must be something in that summer air
So high and we don't care, that summer air

[Verse 2]
Feel the sun on your skin
Feel the love sinking in
Oh, babe, what we waitin' for?
We got nothing to do
You got me, I got you
Oh, feel the sun on your skin
Feel the love sinking in
Say, babe, what we waitin' for?
And no place I'd rather be
I got you, you got me

[Pre-Chorus]
It's going off, I swear
We got it all right here

[Chorus]
There must be something in that summer air
Just high on life and we don’t care
There must be something in that summer air
So high and we don’t care
There must be something in that summer air
Just high on life and we don't care
There must be something in that summer air
So high and we don’t care, that summer air

[Bridge]
That summer air

[Chorus]
There must be something in that summer air
Just high on life and we don't care
There must be something in that summer air
So high and we don't care

[Outro]
That summer air"
30850,77yhWjXlpQzmbId8mnZpsZ,Mars,Alexander 23,32,0iEsfUmbu6y5vEl0QLzE77,Mars,2019-06-07,EDM Pop,2d3oOPO0csDU40JyiGwFaF,edm,pop edm,0.939,0.403,10,-7.517,1,0.1,0.0769,0.0,0.0875,0.602,117.003,153320,"[Intro]
Na na na na na
Na na na na na
Na na na na na

Na na na na na
Na na na na na
Na na na na na

[Chorus]
I tried to give you the world but you wanted Mars too
No one who I could’ve been was good enough for you
You say “I love you"" but you don’t believe it
You say “I love you"" but it don’t mean shit
I tried to give you the world but you wanted Mars too
You wanted Mars

[Refrain]
Na na na na na
Na na na na na
Na na na na na
You wanted Mars

Na na na na na
Na na na na na
Na na na na na

[Verse]
When your brown eyes open up to someone new
I hope it’s everything I wasn’t looking back at you
I don’t hate you, I just hate that you were mine to lose
And I fucked it up forever

But when it’s late at night and I’m running through your brain
Wondering if I could have been your very best mistake
You don’t love me, you just love when other people say
“Oh my god, they’re cute together”

[Chorus]
I tried to give you the world but you wanted Mars too
No one who I could’ve been was good enough for you
You say “I love you"" but you don’t believe it
You say “I love you"" but it don’t mean shit
I tried to give you the world but you wanted Mars too
You wanted Mars

[Refrain]
Na na na na na
Na na na na na
Na na na na na
You wanted Mars

Na na na na na
Na na na na na"
17092,5yaKUbg0audYFIJbAuE49j,Made of Bones (Nightcall Remix),James Quick,56,2NlHkjjDnZWq5YvdRJU1VG,Made of Bones (Nightcall Remix),2019-11-29,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.731,0.659,6,-6.835,0,0.0268,0.0595,3.56e-06,0.462,0.709,110.034,182439,
22924,2QuvT46pnd93GDBYCpSlBf,The Words That Maketh Murder,PJ Harvey,37,2f8Rfpdol5jrJe3OL4YH6k,Let England Shake,2011-02-15,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.591,0.782,2,-8.895,0,0.0429,0.61,0.0,0.172,0.733,158.018,225840,"[Verse 1]
I've seen and done things I want to forget
I've seen soldiers fall like lumps of meat
Blown and shot out beyond belief
Arms and legs were in the trees
I've seen and done things I want to forget
Coming from an unearthly place
Longing to see a woman's face
Instead of the words that gather pace
The words that maketh murder

[Chorus 1]
These, these, these are the words
The words that maketh murder
These, these, these are the words
The words that maketh murder
These, these, these are the words
The words that maketh murder
These, these, these are the words
Murder

[Interlude]
(These, these, these are the words
The words that maketh murder
These, these, these are the words
The words that maketh murder)

[Verse 2]
I've seen and done things I want to forget
These, these, these are the words
The words that maketh murder
I've seen a corporal whose nerves were shot
These, these, these are the words
The words that maketh murder
Climbing behind a fierce, gone sun
These, these, these are the words
The words that maketh murder
I've seen flies swarming everyone
These, these, these are the words
The words that maketh murder
Soldiers fell like lumps of meat
These, these, these are the words
The words that maketh murder
These are the words, the words are these

[Chorus 2]
Death lingering and stunk
Flies swarming everyone
Over the whole summit peak
Flesh quivering in the heat
This was something else again
I fear it cannot explain
The words that make, the words that make
Murder

[Outro]
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my problem to the United Nations?
What if I take my, what if I take my problem to the United
Nations?"
